locality,zone,bhk,total_sqft,bathrooms,balconies,age_years,floor_no,total_floors,property_type,amenities_score,parking,distance_to_it_park_km,price_lakhs
Kondhwa,Outskirts,2,985.6,2,2.0,1,1,24,Apartment,5,1,7.0,61.93
Hadapsar,Outskirts,2,1142.8,2,1.0,5,7,16,Apartment,5,1,4.2,85.74
Pashan,Premium West,3,1749.5,3,1.0,2,8,23,Apartment,2,1,1.8,346.41
Shivaji Nagar,Central,2,739.7,3,2.0,1,1,4,Apartment,3,1,10.9,71.79
Aundh,Premium West,3,1692.3,3,3.0,3,13,26,Apartment,4,0,7.3,240.21
Shivaji Nagar,Central,3,1420.9,4,3.0,12,14,14,Apartment,1,1,4.7,94.48
Narhe,Outskirts,2,983.2,2,2.0,12,19,26,Villa,2,0,6.1,72.61
Wagholi,Outskirts,1,572.8,2,1.0,12,24,24,Apartment,4,1,11.7,40.22
Undri,Outskirts,5,3282.6,5,1.0,1,20,20,Builder Floor,1,1,2.4,258.12
Sinhgad Road,Outskirts,2,956.4,2,0.0,5,10,14,Builder Floor,5,1,4.8,70.17
Chinchwad,Outskirts,3,1590.4,3,2.0,2,7,10,Apartment,2,0,12.2,129.85
Baner,Premium West,2,726.0,2,1.0,0,3,4,Apartment,2,0,7.2,115.59
Kalyani Nagar,Premium West,3,1447.7,3,1.0,2,3,28,Villa,4,1,7.6,447.82
Moshi,Outskirts,1,528.8,1,0.0,8,5,8,Builder Floor,1,1,8.3,23.3
Shivaji Nagar,Central,3,1288.2,3,2.0,8,2,28,Apartment,2,1,7.5,103.34
Wakad,Mid-tier,2,1089.4,2,1.0,5,9,23,Builder Floor,0,0,9.6,81.47
Kondhwa,Outskirts,3,1504.7,3,0.0,5,1,3,Apartment,5,1,9.3,93.98
Boat Club Road,Premium West,2,902.0,2,3.0,3,4,16,Apartment,1,0,9.3,130.24
Wakad,Mid-tier,2,724.3,2,1.0,8,1,17,Builder Floor,0,1,16.3,60.83
Balewadi,IT Corridor,3,1306.6,4,1.0,3,7,20,Apartment,2,1,1.6,162.52
Hadapsar,Outskirts,4,1978.6,4,2.0,1,15,25,Apartment,1,1,6.2,191.13
Ravet,Mid-tier,2,1274.9,2,1.0,0,1,3,Apartment,3,1,3.7,114.07
Hadapsar,Outskirts,2,953.8,2,1.0,2,9,24,Apartment,3,1,10.0,87.63
Narayan Peth,Central,2,832.9,2,2.0,1,4,6,Apartment,2,1,8.7,83.64
Narhe,Outskirts,3,1711.7,3,1.0,5,4,6,Villa,2,1,0.2,140.13
Kothrud,IT Corridor,2,1220.7,2,0.0,5,11,24,Apartment,2,0,1.5,164.72
Shivaji Nagar,Central,3,1607.7,3,2.0,18,4,22,Apartment,1,1,4.7,109.29
Kalyani Nagar,Premium West,2,947.4,2,2.0,2,2,4,Apartment,0,1,3.2,200.9
Balewadi,IT Corridor,4,2732.6,5,1.0,3,1,4,Apartment,0,1,7.6,415.52
Chinchwad,Outskirts,2,1139.0,2,2.0,0,14,25,Apartment,5,1,12.9,100.54
Baner,Premium West,3,1543.8,3,2.0,8,2,15,Apartment,1,1,6.3,232.03
Kondhwa,Outskirts,3,1788.4,3,2.0,5,9,11,Apartment,0,1,7.4,129.47
Narhe,Outskirts,3,1541.4,3,2.0,2,2,16,Apartment,4,1,8.7,84.98
Boat Club Road,Premium West,1,807.1,1,2.0,3,13,19,Apartment,2,0,6.3,172.49
Undri,Outskirts,1,664.2,1,1.0,12,3,8,Apartment,3,1,2.3,39.01
Somwar Peth,Central,2,1034.0,3,2.0,5,2,9,Villa,4,1,2.8,99.07
Hadapsar,Outskirts,2,800.6,2,0.0,5,11,28,Apartment,3,0,9.3,57.19
NIBM Road,Outskirts,3,1498.7,3,1.0,12,5,9,Apartment,3,0,7.6,85.61
Baner,Premium West,3,1191.7,3,0.0,3,4,5,Apartment,1,1,3.3,204.1
Sinhgad Road,Outskirts,2,1071.9,2,1.0,1,0,24,Villa,4,1,5.8,109.75
Aundh,Premium West,2,1027.4,2,1.0,5,4,17,Apartment,4,1,3.2,186.96
Ravet,Mid-tier,4,2373.5,4,2.0,8,23,23,Apartment,1,1,6.0,177.96
Somwar Peth,Central,3,2009.8,4,0.0,2,13,22,Apartment,4,1,2.2,211.87
Camp,Central,2,943.2,2,1.0,1,27,28,Apartment,4,1,3.9,82.92
Sinhgad Road,Outskirts,2,1133.0,2,1.0,3,6,28,Villa,1,1,8.4,79.84
NIBM Road,Outskirts,2,1240.8,2,2.0,3,2,12,Villa,0,1,4.8,105.45
Kharadi,IT Corridor,3,1675.7,3,2.0,3,1,5,Apartment,4,1,4.3,298.29
Kothrud,IT Corridor,1,650.4,2,1.0,8,20,21,Builder Floor,4,1,7.8,80.1
Kondhwa,Outskirts,3,1441.3,3,1.0,8,6,13,Apartment,3,1,4.4,86.75
Chinchwad,Outskirts,3,1405.7,4,2.0,12,3,3,Builder Floor,0,1,5.2,79.94
Viman Nagar,IT Corridor,2,930.0,2,1.0,3,7,21,Apartment,0,1,4.4,128.74
Baner,Premium West,3,1658.3,3,0.0,3,16,21,Apartment,2,0,0.9,285.84
Camp,Central,4,1791.3,5,1.0,2,6,14,Apartment,5,1,0.5,158.46
Baner,Premium West,4,2234.8,4,1.0,5,13,23,Apartment,1,1,1.2,436.61
Kalyani Nagar,Premium West,2,1037.0,2,2.0,12,2,5,Apartment,5,1,4.9,172.31
Undri,Outskirts,3,1372.7,4,2.0,18,2,27,Builder Floor,0,1,4.4,72.91
Kalyani Nagar,Premium West,2,981.6,2,0.0,12,22,26,Apartment,3,1,5.8,150.22
Moshi,Outskirts,2,956.2,2,1.0,5,1,19,Apartment,3,0,14.1,52.82
Narayan Peth,Central,2,1286.4,3,2.0,5,4,11,Apartment,0,1,1.6,97.64
Shivaji Nagar,Central,2,1295.6,2,2.0,3,17,17,Apartment,1,1,5.9,95.78
Camp,Central,3,1682.8,3,3.0,5,1,28,Apartment,1,0,9.6,135.4
Swargate,Central,2,1105.9,2,1.0,2,2,19,Apartment,3,1,6.9,76.65
Chinchwad,Outskirts,4,2221.5,4,0.0,3,0,8,Apartment,4,1,10.4,146.7
Ravet,Mid-tier,4,2440.1,4,1.0,12,3,3,Apartment,0,1,7.1,199.3
Wakad,Mid-tier,2,984.6,2,1.0,5,7,18,Apartment,4,0,9.1,91.25
Narayan Peth,Central,4,2004.3,4,2.0,5,18,22,Apartment,3,1,4.2,189.35
Moshi,Outskirts,2,959.5,3,1.0,5,4,20,Apartment,4,0,7.6,71.13
Ravet,Mid-tier,5,2369.2,6,1.0,8,14,24,Apartment,1,1,1.5,218.51
Kharadi,IT Corridor,4,1806.4,4,2.0,0,16,24,Builder Floor,5,0,6.4,305.44
Baner,Premium West,2,1236.6,2,2.0,8,2,23,Builder Floor,1,1,11.7,105.98
Balewadi,IT Corridor,2,1234.2,2,0.0,2,17,18,Apartment,0,1,5.6,202.72
Hinjewadi,Mid-tier,1,552.6,1,1.0,3,4,26,Apartment,5,1,11.9,44.76
Narayan Peth,Central,4,2605.7,5,1.0,5,1,10,Apartment,0,1,4.1,165.86
Somwar Peth,Central,4,2106.5,4,1.0,1,24,28,Apartment,1,1,5.7,190.71
Somwar Peth,Central,2,1191.6,3,1.0,5,1,13,Apartment,0,1,2.2,117.79
Koregaon Park,Premium West,4,2166.5,4,2.0,3,3,14,Apartment,5,1,10.4,369.75
Kharadi,IT Corridor,1,499.2,1,1.0,1,16,16,Apartment,4,1,3.0,87.94
Chinchwad,Outskirts,2,778.9,3,2.0,3,12,22,Builder Floor,0,1,3.9,45.49
Hinjewadi,Mid-tier,3,1679.2,3,1.0,12,8,13,Apartment,0,1,9.4,142.86
Kharadi,IT Corridor,3,1297.6,4,0.0,12,13,25,Apartment,4,1,4.7,137.95
Swargate,Central,2,1084.8,2,0.0,0,5,11,Apartment,3,1,6.8,83.14
Undri,Outskirts,3,1443.8,3,1.0,18,3,6,Villa,5,1,7.8,95.62
Bavdhan,Mid-tier,3,1527.4,4,1.0,0,8,9,Apartment,4,1,1.0,130.83
Koregaon Park,Premium West,2,1202.0,2,3.0,18,20,24,Apartment,5,1,6.1,155.06
Camp,Central,2,1060.7,2,2.0,3,8,10,Apartment,5,1,4.6,78.21
NIBM Road,Outskirts,2,829.5,2,1.0,2,1,8,Builder Floor,4,1,7.4,61.96
Boat Club Road,Premium West,2,1216.1,2,1.0,1,3,4,Apartment,5,0,8.1,302.54
Viman Nagar,IT Corridor,2,1236.7,2,2.0,2,5,23,Apartment,3,0,8.4,151.15
Ravet,Mid-tier,2,1318.7,2,1.0,5,6,6,Apartment,1,1,8.9,110.09
Wakad,Mid-tier,2,977.7,2,0.0,3,6,12,Apartment,2,1,2.5,71.36
Viman Nagar,IT Corridor,3,1373.3,4,1.0,12,16,19,Apartment,1,0,4.1,192.54
Boat Club Road,Premium West,2,946.5,3,2.0,5,23,28,Builder Floor,0,0,2.4,162.47
Kiwale,Outskirts,2,1271.1,2,2.0,0,1,7,Builder Floor,3,1,7.2,99.01
Pashan,Premium West,1,642.7,1,2.0,5,0,20,Apartment,3,1,11.1,99.09
Balewadi,IT Corridor,4,2234.5,4,2.0,25,0,8,Apartment,5,1,4.6,255.53
Hinjewadi,Mid-tier,2,1038.6,2,2.0,18,7,22,Apartment,4,1,7.5,101.56
Camp,Central,2,922.7,2,2.0,0,2,12,Apartment,2,1,8.3,82.84
Kondhwa,Outskirts,4,2369.7,5,1.0,25,8,14,Apartment,2,1,9.9,148.55
Sinhgad Road,Outskirts,4,2204.2,4,1.0,3,5,11,Apartment,3,1,5.5,172.76
Somwar Peth,Central,2,1050.9,2,1.0,12,11,29,Apartment,3,1,11.7,58.95
Camp,Central,2,964.4,3,1.0,1,4,8,Apartment,5,0,14.8,61.15
Sinhgad Road,Outskirts,2,1163.8,2,1.0,5,6,18,Apartment,5,1,3.3,91.24
Undri,Outskirts,3,1592.9,3,1.0,12,25,28,Apartment,2,1,11.4,87.11
Undri,Outskirts,1,577.3,2,2.0,2,6,6,Apartment,4,0,3.3,35.47
Kothrud,IT Corridor,3,1243.1,3,2.0,12,8,27,Apartment,5,0,2.8,171.85
Shivaji Nagar,Central,3,1526.9,3,1.0,0,13,25,Apartment,4,1,9.0,129.65
Pashan,Premium West,4,2606.5,4,2.0,12,8,21,Apartment,0,1,7.4,370.32
Moshi,Outskirts,3,1545.1,3,3.0,12,3,6,Apartment,3,1,3.6,99.15
Kondhwa,Outskirts,2,1004.8,2,1.0,3,11,17,Builder Floor,3,1,6.1,65.11
Chinchwad,Outskirts,2,1022.5,2,2.0,1,1,14,Apartment,0,1,7.9,96.17
Bavdhan,Mid-tier,3,1843.4,3,3.0,5,6,27,Apartment,4,1,2.4,143.91
NIBM Road,Outskirts,3,1582.3,4,1.0,5,20,28,Apartment,0,1,5.2,121.78
Chinchwad,Outskirts,3,1151.4,3,1.0,2,1,16,Apartment,5,1,1.9,107.87
Narayan Peth,Central,3,1287.3,4,1.0,1,6,11,Apartment,4,1,4.4,95.86
Balewadi,IT Corridor,1,558.5,2,1.0,8,13,23,Apartment,2,1,1.3,63.38
Somwar Peth,Central,3,1339.5,4,1.0,1,0,13,Apartment,1,1,3.1,98.56
Kondhwa,Outskirts,4,2453.0,4,2.0,3,0,7,Apartment,1,1,13.5,123.91
Wakad,Mid-tier,2,1099.3,2,2.0,3,4,8,Apartment,4,1,0.1,109.4
Kothrud,IT Corridor,2,1212.7,2,,8,5,7,Builder Floor,3,1,6.4,119.44
Narhe,Outskirts,3,1460.6,4,1.0,1,8,19,Apartment,2,0,5.9,99.45
NIBM Road,Outskirts,2,1324.8,3,3.0,12,8,11,Apartment,5,1,5.5,86.93
Kondhwa,Outskirts,3,1569.6,3,3.0,0,6,16,Apartment,4,1,13.0,110.56
Viman Nagar,IT Corridor,2,1137.8,2,0.0,12,25,28,Villa,0,0,5.3,124.87
Kiwale,Outskirts,1,558.3,1,2.0,3,10,24,Apartment,5,0,8.4,37.66
NIBM Road,Outskirts,2,1109.2,2,2.0,2,1,23,Apartment,2,0,5.7,83.76
Kalyani Nagar,Premium West,2,1387.8,3,3.0,1,6,24,Apartment,3,1,9.0,180.51
Kalyani Nagar,Premium West,3,1641.0,3,2.0,2,9,16,Villa,4,1,3.1,466.04
Camp,Central,3,1464.0,3,2.0,18,3,8,Apartment,4,1,5.9,97.47
Magarpatta,Mid-tier,2,1303.2,3,2.0,2,20,29,Apartment,0,0,9.1,137.52
Ravet,Mid-tier,2,1166.9,3,2.0,12,3,7,Apartment,3,1,6.5,70.21
Kiwale,Outskirts,2,733.9,2,2.0,3,6,27,Apartment,1,1,5.3,42.57
Swargate,Central,1,607.5,1,2.0,8,8,25,Apartment,5,0,8.1,43.81
Swargate,Central,3,998.2,3,1.0,18,25,27,Apartment,1,1,3.4,69.61
Pashan,Premium West,2,1172.6,2,3.0,3,1,3,Apartment,1,1,6.9,160.07
Balewadi,IT Corridor,2,994.4,2,3.0,3,3,17,Apartment,4,1,2.1,142.95
Narhe,Outskirts,1,503.4,2,2.0,1,0,4,Apartment,5,1,14.5,26.98
Camp,Central,2,1102.8,3,3.0,12,4,4,Apartment,4,1,0.1,100.12
Balewadi,IT Corridor,4,2501.4,4,2.0,5,4,28,Apartment,2,1,4.5,296.63
Moshi,Outskirts,2,1152.1,2,2.0,12,10,16,Apartment,3,1,6.4,77.92
Hinjewadi,Mid-tier,2,1139.1,3,2.0,1,1,3,Villa,2,1,12.0,130.37
Moshi,Outskirts,2,943.6,3,1.0,12,11,16,Apartment,2,1,0.8,56.07
Aundh,Premium West,4,2380.6,4,1.0,2,0,28,Builder Floor,0,1,10.5,354.71
Sinhgad Road,Outskirts,4,1690.8,4,1.0,3,1,7,Apartment,4,1,0.3,123.53
Moshi,Outskirts,2,1028.2,2,1.0,3,1,9,Apartment,0,1,4.1,62.3
Koregaon Park,Premium West,1,628.8,2,2.0,1,9,21,Apartment,1,1,9.7,127.45
Narayan Peth,Central,3,1439.0,3,2.0,3,12,12,Apartment,3,1,6.8,99.76
Kalyani Nagar,Premium West,3,1381.9,3,2.0,25,15,15,Apartment,1,1,4.8,226.51
Aundh,Premium West,1,489.1,1,2.0,3,18,18,Apartment,3,1,4.3,77.92
Bavdhan,Mid-tier,2,870.3,2,2.0,2,16,19,Villa,0,1,1.0,122.79
Magarpatta,Mid-tier,1,454.7,2,2.0,12,2,17,Apartment,2,1,10.1,43.57
Balewadi,IT Corridor,1,718.5,2,2.0,1,18,19,Apartment,4,1,9.4,90.59
Kondhwa,Outskirts,2,990.8,2,1.0,0,15,19,Builder Floor,1,1,9.0,61.39
Wagholi,Outskirts,2,1269.7,2,2.0,2,8,26,Apartment,3,1,0.2,107.52
Wagholi,Outskirts,2,826.9,2,2.0,18,4,5,Apartment,4,1,4.3,62.13
Sinhgad Road,Outskirts,2,1113.3,2,1.0,5,1,3,Apartment,4,0,7.4,65.54
Kharadi,IT Corridor,3,1572.4,4,1.0,3,0,3,Apartment,3,1,5.8,168.06
Moshi,Outskirts,3,1298.9,3,2.0,5,0,5,Builder Floor,1,0,11.3,65.39
Koregaon Park,Premium West,3,1381.8,3,2.0,0,2,15,Apartment,0,1,11.7,276.43
Kharadi,IT Corridor,3,1277.7,3,3.0,3,15,25,Apartment,0,1,6.6,135.65
Narayan Peth,Central,2,1304.1,2,,0,16,24,Villa,4,1,8.2,131.54
Viman Nagar,IT Corridor,3,1593.1,3,2.0,18,2,6,Builder Floor,4,1,6.8,163.92
Bavdhan,Mid-tier,2,1175.1,3,2.0,3,0,7,Apartment,2,1,10.4,95.16
Kondhwa,Outskirts,2,1090.8,2,2.0,2,6,19,Apartment,5,1,3.0,82.29
Wakad,Mid-tier,2,1148.3,2,0.0,12,0,27,Apartment,4,0,6.2,98.04
Viman Nagar,IT Corridor,2,1150.7,2,2.0,1,4,4,Apartment,1,1,10.9,180.21
Narhe,Outskirts,1,536.9,1,1.0,8,9,17,Apartment,3,1,7.6,27.46
NIBM Road,Outskirts,4,1889.1,4,1.0,12,0,11,Apartment,3,0,8.8,139.58
NIBM Road,Outskirts,2,1123.7,2,1.0,12,10,18,Apartment,2,1,11.0,81.05
Magarpatta,Mid-tier,3,1796.0,3,1.0,25,14,21,Villa,5,1,0.5,203.2
Kothrud,IT Corridor,3,1340.9,3,2.0,8,7,19,Apartment,5,1,3.6,164.61
Somwar Peth,Central,3,1267.2,3,2.0,2,0,20,Apartment,0,1,0.0,97.72
Moshi,Outskirts,2,1005.3,2,2.0,5,0,5,Apartment,2,0,12.4,44.04
Koregaon Park,Premium West,2,1199.4,3,1.0,25,1,4,Apartment,3,1,4.1,209.03
Baner,Premium West,3,1450.4,3,1.0,3,2,5,Apartment,2,1,1.2,218.46
Chinchwad,Outskirts,1,740.8,1,1.0,3,15,17,Builder Floor,5,1,6.3,55.16
Magarpatta,Mid-tier,2,1024.0,3,2.0,0,10,14,Apartment,2,1,7.3,131.57
Somwar Peth,Central,4,2089.1,5,1.0,3,26,29,Apartment,1,0,8.1,184.07
Kiwale,Outskirts,2,844.2,2,1.0,2,5,5,Apartment,3,1,2.1,48.91
Balewadi,IT Corridor,2,1325.6,2,1.0,12,4,28,Apartment,5,1,11.0,123.06
Shivaji Nagar,Central,3,1199.8,3,1.0,12,18,24,Apartment,2,1,16.2,93.85
Magarpatta,Mid-tier,1,675.4,1,1.0,5,10,15,Apartment,1,1,11.2,63.4
Wagholi,Outskirts,2,949.6,3,2.0,25,12,23,Apartment,4,1,4.9,47.31
Kothrud,IT Corridor,1,712.4,1,2.0,3,3,17,Apartment,5,0,8.0,71.79
Narhe,Outskirts,2,1121.0,2,0.0,5,2,10,Apartment,1,1,5.7,85.39
Magarpatta,Mid-tier,2,1263.5,3,0.0,2,8,15,Apartment,4,0,9.7,111.47
Koregaon Park,Premium West,3,1093.3,3,3.0,1,25,26,Apartment,0,1,12.0,229.46
Aundh,Premium West,3,1308.2,3,1.0,5,9,13,Apartment,2,1,7.6,257.67
Balewadi,IT Corridor,1,528.1,2,2.0,8,18,27,Apartment,1,1,11.3,65.82
Narhe,Outskirts,2,950.6,3,,0,11,29,Apartment,1,1,12.1,51.91
Bavdhan,Mid-tier,4,2091.3,5,2.0,5,9,10,Apartment,5,1,7.1,239.1
Viman Nagar,IT Corridor,1,734.2,1,2.0,3,1,19,Apartment,1,1,5.3,108.8
Undri,Outskirts,3,1174.6,4,1.0,8,2,8,Apartment,4,1,9.6,59.34
Kondhwa,Outskirts,2,651.9,3,1.0,5,19,26,Apartment,1,1,1.6,41.29
Kalyani Nagar,Premium West,3,1493.8,3,2.0,12,10,13,Apartment,4,1,2.7,240.94
Ravet,Mid-tier,2,1330.8,3,1.0,18,13,19,Apartment,5,1,8.0,125.56
Kalyani Nagar,Premium West,2,907.5,3,2.0,0,0,10,Apartment,2,1,2.5,173.67
Balewadi,IT Corridor,3,1151.1,3,1.0,3,5,28,Apartment,2,0,7.9,146.19
Undri,Outskirts,4,2280.6,5,1.0,12,19,19,Apartment,4,1,5.6,121.92
Magarpatta,Mid-tier,3,1668.3,3,1.0,5,1,8,Villa,5,1,0.3,262.72
Camp,Central,4,1957.9,4,2.0,2,3,7,Builder Floor,0,0,7.6,117.52
Balewadi,IT Corridor,1,645.8,1,1.0,5,9,21,Apartment,2,1,7.0,82.83
NIBM Road,Outskirts,5,2383.8,5,2.0,18,16,19,Apartment,4,0,0.8,203.75
Kothrud,IT Corridor,1,605.8,1,1.0,0,13,27,Apartment,2,1,3.9,88.59
Baner,Premium West,2,885.4,3,0.0,5,0,8,Apartment,0,0,4.9,107.92
Kiwale,Outskirts,2,923.8,2,2.0,8,10,17,Apartment,0,1,10.5,46.96
Kiwale,Outskirts,2,1204.2,3,1.0,3,18,24,Apartment,2,1,5.0,80.13
Camp,Central,2,1227.8,3,2.0,8,3,9,Apartment,0,1,8.8,69.41
Viman Nagar,IT Corridor,1,519.5,1,2.0,3,11,24,Villa,2,1,5.1,89.08
Koregaon Park,Premium West,2,1054.0,2,2.0,2,6,21,Apartment,5,1,3.2,272.38
Pashan,Premium West,3,1287.4,4,2.0,3,15,19,Apartment,0,1,3.4,201.05
Wagholi,Outskirts,3,1770.2,4,1.0,18,6,8,Builder Floor,1,1,8.3,86.17
Kharadi,IT Corridor,2,1147.3,3,1.0,3,5,15,Villa,1,0,10.2,180.49
Narayan Peth,Central,2,846.0,2,2.0,1,4,12,Builder Floor,2,1,2.7,62.37
NIBM Road,Outskirts,3,1567.2,4,1.0,1,11,17,Apartment,1,1,7.0,121.59
Balewadi,IT Corridor,3,1593.7,3,1.0,2,11,28,Apartment,0,0,5.9,206.61
Swargate,Central,2,1150.4,2,1.0,2,18,29,Apartment,5,0,14.7,98.62
Koregaon Park,Premium West,2,724.4,2,0.0,3,12,13,Apartment,3,1,9.7,165.32
Moshi,Outskirts,4,2170.3,4,3.0,5,4,16,Apartment,2,1,5.4,134.09
Somwar Peth,Central,4,2121.3,4,1.0,3,1,5,Apartment,4,1,1.2,151.84
Hadapsar,Outskirts,4,1727.5,4,2.0,8,9,23,Apartment,3,1,8.4,151.92
Boat Club Road,Premium West,2,1123.2,3,2.0,25,0,27,Apartment,2,1,3.5,160.96
NIBM Road,Outskirts,2,1228.8,2,3.0,12,3,13,Apartment,4,0,4.9,98.45
Kiwale,Outskirts,2,1018.3,2,1.0,5,1,12,Apartment,0,1,4.4,54.82
Moshi,Outskirts,5,2788.8,6,1.0,2,3,17,Villa,4,1,5.7,347.82
Moshi,Outskirts,3,1414.3,4,2.0,5,0,11,Builder Floor,4,0,11.3,69.89
Hinjewadi,Mid-tier,2,755.2,3,2.0,18,14,19,Apartment,2,1,7.0,61.15
Balewadi,IT Corridor,3,1668.7,4,2.0,2,0,12,Apartment,1,1,3.0,173.67
Kothrud,IT Corridor,2,948.2,2,1.0,1,11,19,Apartment,4,0,4.3,156.94
Chinchwad,Outskirts,3,1926.7,3,2.0,1,7,8,Apartment,3,1,4.9,185.3
Sinhgad Road,Outskirts,1,630.1,2,1.0,5,2,5,Apartment,5,1,4.0,37.53
Baner,Premium West,2,1193.1,2,1.0,5,6,28,Apartment,3,0,8.8,167.73
Moshi,Outskirts,2,1008.8,2,2.0,12,25,29,Villa,2,0,6.9,71.1
Moshi,Outskirts,2,1194.8,2,1.0,5,4,7,Apartment,4,1,5.1,83.27
Hinjewadi,Mid-tier,2,1111.9,2,0.0,3,20,26,Apartment,1,1,7.0,89.78
NIBM Road,Outskirts,3,1289.8,4,0.0,25,10,22,Apartment,3,1,5.4,72.98
Somwar Peth,Central,2,852.8,2,2.0,3,7,7,Apartment,3,1,7.5,72.66
Viman Nagar,IT Corridor,2,779.5,2,1.0,5,0,6,Apartment,1,1,2.6,100.64
Ravet,Mid-tier,4,1530.3,4,2.0,12,12,26,Apartment,3,1,3.3,97.13
Narhe,Outskirts,3,1615.1,3,1.0,3,3,19,Apartment,1,1,5.7,114.93
Sinhgad Road,Outskirts,2,1018.7,2,1.0,12,13,16,Apartment,4,1,6.6,69.12
Undri,Outskirts,3,1522.6,4,1.0,12,11,22,Builder Floor,5,1,7.0,83.41
Ravet,Mid-tier,3,1578.0,4,2.0,18,13,28,Apartment,5,1,6.4,120.84
Kharadi,IT Corridor,2,968.2,2,0.0,5,12,18,Apartment,0,0,10.2,162.84
Somwar Peth,Central,1,593.2,2,1.0,18,12,15,Apartment,5,0,6.1,51.64
Magarpatta,Mid-tier,2,1278.2,2,2.0,8,17,17,Apartment,1,1,4.8,150.42
Aundh,Premium West,3,1090.9,3,2.0,12,6,21,Apartment,2,0,11.1,135.62
Baner,Premium West,3,1389.3,3,0.0,3,2,7,Apartment,2,1,12.5,216.76
Magarpatta,Mid-tier,2,888.4,2,1.0,8,0,3,Apartment,2,1,7.9,69.28
Kalyani Nagar,Premium West,3,1617.8,3,1.0,3,6,29,Builder Floor,4,1,7.1,291.04
NIBM Road,Outskirts,3,1223.7,3,2.0,12,11,26,Apartment,3,1,11.9,85.23
Wakad,Mid-tier,5,2699.4,6,1.0,2,14,16,Apartment,3,1,6.2,313.46
Kharadi,IT Corridor,3,1347.4,3,1.0,5,8,16,Apartment,3,1,9.0,221.56
Bavdhan,Mid-tier,2,1131.2,2,2.0,1,1,8,Apartment,2,1,3.6,147.87
Balewadi,IT Corridor,2,1060.9,2,2.0,2,13,29,Builder Floor,2,0,1.9,132.69
NIBM Road,Outskirts,2,790.4,2,2.0,3,6,27,Villa,2,0,2.3,86.03
Aundh,Premium West,2,1073.0,2,1.0,3,2,8,Apartment,4,1,6.0,176.24
Ravet,Mid-tier,2,982.2,3,1.0,12,4,16,Apartment,2,1,0.4,59.07
Wakad,Mid-tier,3,1941.3,3,2.0,12,1,27,Apartment,5,1,1.5,207.36
Somwar Peth,Central,3,1385.8,3,1.0,8,3,26,Apartment,2,1,3.7,111.25
Swargate,Central,3,1263.1,4,2.0,12,0,26,Apartment,1,1,5.0,83.22
Narhe,Outskirts,3,1422.6,3,2.0,5,11,12,Apartment,2,1,0.1,115.16
Kothrud,IT Corridor,4,2192.3,4,1.0,2,5,14,Apartment,4,1,7.7,326.76
Viman Nagar,IT Corridor,3,1628.3,3,3.0,3,5,7,Apartment,2,1,2.4,200.96
Ravet,Mid-tier,2,1290.9,2,1.0,12,12,14,Apartment,5,1,0.4,101.26
Pashan,Premium West,4,1664.3,4,1.0,8,5,6,Apartment,3,1,6.5,332.78
Kondhwa,Outskirts,2,1293.0,3,0.0,3,2,10,Apartment,5,1,6.1,97.53
Aundh,Premium West,2,965.7,2,2.0,1,4,4,Apartment,3,0,6.5,176.0
Somwar Peth,Central,1,645.6,1,2.0,1,7,20,Builder Floor,1,1,12.5,39.18
Koregaon Park,Premium West,3,1573.8,4,0.0,3,15,22,Apartment,2,1,5.3,338.51
Koregaon Park,Premium West,2,1115.2,2,1.0,3,5,22,Apartment,4,1,10.3,172.39
Boat Club Road,Premium West,2,1040.9,2,0.0,5,3,4,Apartment,1,1,1.3,195.33
Hadapsar,Outskirts,3,1862.0,4,1.0,0,5,8,Apartment,0,1,7.0,172.08
NIBM Road,Outskirts,1,615.9,2,1.0,5,4,6,Builder Floor,5,1,4.5,52.16
Narayan Peth,Central,2,1106.4,3,0.0,8,1,3,Apartment,0,0,4.9,76.25
Camp,Central,2,962.9,3,1.0,1,3,20,Apartment,2,1,5.3,92.82
Viman Nagar,IT Corridor,3,1128.5,3,1.0,5,6,22,Apartment,2,1,4.7,127.69
Kalyani Nagar,Premium West,3,1326.6,4,0.0,2,5,12,Apartment,1,1,0.5,246.12
Kiwale,Outskirts,2,1316.7,2,1.0,1,13,22,Builder Floor,1,1,6.9,64.92
Somwar Peth,Central,2,992.6,3,2.0,0,1,4,Apartment,5,1,4.6,82.08
Ravet,Mid-tier,2,1169.1,3,0.0,8,2,3,Apartment,1,1,6.0,81.25
Pashan,Premium West,1,644.5,1,2.0,5,14,16,Builder Floor,1,0,2.8,104.64
NIBM Road,Outskirts,2,1000.5,2,2.0,5,1,4,Builder Floor,2,1,10.0,62.3
Sinhgad Road,Outskirts,2,938.5,2,1.0,3,16,28,Apartment,4,1,2.1,71.08
Aundh,Premium West,2,1144.5,2,2.0,0,16,28,Villa,5,1,9.8,263.86
Camp,Central,2,1236.7,2,1.0,12,4,14,Apartment,5,1,5.2,75.43
Wakad,Mid-tier,4,2038.5,5,1.0,2,9,28,Apartment,2,1,10.8,200.89
Undri,Outskirts,2,824.6,3,1.0,12,2,28,Apartment,4,1,9.8,40.58
Kondhwa,Outskirts,3,1241.9,4,2.0,2,1,3,Apartment,4,0,7.9,115.05
Kharadi,IT Corridor,3,1773.2,4,2.0,5,2,17,Apartment,5,1,5.4,249.64
Koregaon Park,Premium West,5,2916.3,5,1.0,12,8,11,Apartment,2,1,2.2,585.78
